User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation
1,5,-77.00934213408237,32.000912399673986,4499.99160475097,5099.997736812901,85.00842279218774
2,4,-40.98899226265854,47.00790310810404,6300.007178765183,6600.014890344085,80.01959029824833
3,7,-108.00401421329656,52.99105995052256,1499.9803226287404,1899.992072580947,69.97742972395002
4,4,-46.98844143784673,40.992349089115294,5700.011202080449,5999.99821664603,79.99899085821838
5,1,-65.0091106594584,8.014711418623055,1000.0034425805437,1099.9915858966544,70.00445686383789
6,10,-109.0004293849579,0.0018140928873584567,100.00995611294555,99.99555794064202,69.98961812704042
7,6,-63.978285276983684,24.985720188208127,11699.990906886183,12999.995387705943,75.00541471940012
8,7,-92.00584780346192,36.99666101295963,3100.018306718166,3499.9976061884145,69.99757137915664
9,7,-88.99506402550573,33.992565769989504,3400.019770767008,3799.9965540923777,69.9956305770024
10,4,-48.990298292546555,38.98230586679344,5499.958209958837,5799.994683041697,79.98690167873612
11,0,-115.00377396041547,70.00918502867404,430.01035085508755,429.9987359026349,60.004873184775015
12,6,-83.00045278076477,27.014130629561198,10800.003089608075,12000.006477797277,69.98871079026091
13,5,-80.00479333806722,30.993639756285386,4400.015990304099,4900.004387231284,85.00220293607423
14,5,-110.00125128387337,61.000256383645905,1299.9919914616423,1799.9969167558033,84.99436157294029
15,7,-87.99861420450902,32.99979963544893,3500.0056052766645,3899.9797712336895,70.00659247434014
16,10,-106.99634571087873,5.012773387093287,99.99092083767563,99.98803618843104,69.99316845441278
17,4,-63.00199448830632,24.99431619487553,4100.010719218744,4400.002109424194,79.99848256703629
18,7,-89.00429498664647,29.989612419615067,3899.995672559046,4200.007041347697,70.0076073281427
19,1,-59.000564961370976,4.995115919575176,900.0039764069317,1100.0059736358692,70.00048989567175
20,4,-56.00125509767111,32.01736277782561,4799.996876130207,5099.982308891964,80.01131911685853
21,0,-98.01274223428871,43.000613995401544,679.9920145172904,679.9989938794716,60.00320886103211
