User_ID,Application,Latency,Required_B,Allocated_B,Efficiency
1,8,46.0,0.0,285.2488372888106,83.12876791005905
2,8,47.0,0.0,299.4265306207279,84.76393654872251
3,8,48.0,0.0,315.08728102231134,86.77131532851432
4,8,49.0,0.0,332.4766338152845,89.21252996884976
5,8,50.0,0.0,351.89750622518676,92.16360509856771
6,8,51.0,0.0,197.59992298843565,51.51570334778452
7,8,52.0,0.0,398.4461748329369,100.0
8,10,9.0,102.4,553.3003739009204,108.8026703066488
9,10,8.0,102.4,553.3003739009204,112.13600363998214
10,10,7.0,102.4,479.1751545510181,110.27097351015011
11,10,6.0,102.4,465.73058709266644,112.66144625073903
12,10,5.0,102.4,453.01987735890947,115.10338405566307
13,10,4.0,102.4,440.9845363402175,117.59268512080202
14,10,3.0,102.4,429.5721296644259,120.12567225063643
15,10,2.0,102.4,418.7355139091712,122.69903930123182
16,10,1.0,102.4,408.432185661253,125.30980553010711
17,10,0.0,102.4,398.6237243696721,127.95527652380483
18,10,0.0,102.4,398.6237243696721,127.95527652380483
19,10,0.0,102.4,398.6237243696721,127.95527652380483
20,10,0.0,102.4,398.6237243696721,127.95527652380483
21,10,0.0,102.4,398.6237243696721,127.95527652380483
22,10,0.0,102.4,398.6237243696721,127.95527652380483
23,10,0.0,102.4,398.6237243696721,127.95527652380483
24,10,12.0,204.8,730.3968000840924,111.22235148131205
25,10,11.0,204.8,711.1262088249316,113.20424817278744
26,10,10.0,204.8,692.8463387623062,115.25562363161652
27,10,15.0,307.2,898.4403581541152,113.00715967685996
28,10,14.0,307.2,772.2507743502492,107.4908824777568
29,10,13.0,307.2,750.7408976588752,109.31573923496273
30,10,20.0,409.6,763.7166493269111,86.89238868440972
31,10,19.0,409.6,763.7166493269111,90.22572201774307
32,10,18.0,409.6,898.4403581541152,103.00715967685996
33,10,17.0,409.6,898.4403581541152,106.34049301019328
34,10,16.0,409.6,898.4403581541152,109.67382634352663
35,1,5.0,409.6,684.8706084692506,111.15597134617204
36,1,5.0,409.6,684.8706084692506,111.15597134617204
37,1,5.0,409.6,684.8706084692506,111.15597134617204
38,1,5.0,409.6,684.8706084692506,111.15597134617204
39,1,5.0,409.6,684.8706084692506,111.15597134617204
40,10,24.0,512.0,1038.2360753300995,92.810961336377
41,10,23.0,512.0,993.2278895138006,92.98789377480877
42,10,22.0,512.0,951.9598329797572,93.4271195538729
43,10,21.0,512.0,913.9843026206173,94.09724849813834
44,1,5.0,512.0,684.8706084692506,111.15597134617204
45,1,5.0,512.0,684.8706084692506,111.15597134617204
46,1,5.0,512.0,684.8706084692506,111.15597134617204
47,1,5.0,512.0,684.8706084692506,111.15597134617204
48,1,5.0,512.0,684.8706084692506,111.15597134617204
49,1,5.0,512.0,684.8706084692506,111.15597134617204
50,1,5.0,512.0,684.8706084692506,111.15597134617204
51,1,5.0,512.0,684.8706084692506,111.15597134617204
52,1,5.0,512.0,684.8706084692506,111.15597134617204
53,1,5.0,512.0,684.8706084692506,111.15597134617204
54,10,27.0,614.4,1214.723420064164,95.18792794265309
55,10,25.0,614.4,1087.5169772322918,92.93367227686785
56,1,5.0,614.4,684.8706084692506,111.15597134617204
